33040,53,3248,25,15,5,1955.24
7931,17,1739,5,35,33,938.16
25452,7,2717,25,15,13,3010.27
10616,58,3308,23,17,7,825.06
40558,55,1565,33,7,6,2396.62
106836,29,3935,7,33,23,4218.12
29117,34,2507,23,17,3,1798.42
28694,29,3723,31,9,25,1704.92
28590,59,1014,38,2,37,1698.55
187037,21,2709,14,26,21,6194.07
52302,32,970,23,17,36,3089.76
111933,39,1,5,35,2,4405.64
474372,10,1803,2,38,36,7938.38
158041,51,1708,15,25,4,5303.33
7077,57,4044,3,37,4,619.99
13682,15,674,21,19,9,1581.15
667,41,3077,5,35,31,112.75
23011,57,4061,14,26,9,1538.62
39573,31,679,14,26,37,2340.55
16513,38,321,20,20,32,980.11
36966,15,2688,36,4,10,2615.42
53670,54,2176,28,12,12,2648.10
19750,5,1281,15,25,32,2334.85
5407,53,877,17,23,10,490.52
37149,3,266,7,33,23,3525.71
6087,27,2797,16,24,16,719.08
26190,3,1001,25,15,38,3096.72
975,25,1834,12,28,37,165.15
530,51,1801,17,23,23,77.34
45107,11,2533,2,38,16,2669.87
97123,6,1181,12,28,13,5976.73
11508,24,3352,22,18,24,1348.75
20885,32,1125,1,39,6,1462.49
192974,32,3402,1,39,9,6127.35
9453,44,4072,30,10,2,830.89
38297,54,2116,9,31,22,2267.18
4245,46,157,26,14,11,686.46
9476,28,1744,35,5,9,1199.42
96438,41,1373,9,31,39,3798.44
39973,58,215,4,36,23,2370.69
43292,23,1023,24,16,21,2561.71
15863,37,338,2,38,27,950.16
3437,52,52,5,35,38,492.40
332790,13,1615,18,22,35,7582.78
53355,52,2873,15,25,6,2824.73
1423,40,730,12,28,34,177.01
97388,14,3598,18,22,15,3839.64
70472,8,1312,39,1,4,4126.18
4476,34,3262,12,28,12,490.60
29276,23,3769,33,7,7,1893.26
6307,3,2668,30,10,39,745.66
1972,49,1283,23,17,21,299.33
119330,7,2775,13,27,22,6349.04
28199,3,2226,9,31,12,3317.54
168004,6,1727,26,14,27,6896.71
92834,11,1320,9,31,35,3665.07
12593,11,3632,1,39,7,1492.95
162838,23,3949,13,27,17,5910.70
28557,39,2103,11,29,2,1897.40
2875,49,1979,24,16,26,436.97
425565,54,2381,20,20,10,7333.14
188498,11,1238,26,14,13,6661.51
115484,31,863,5,35,24,4567.21
99143,43,4028,4,36,27,3899.60
32452,20,2481,1,39,22,1941.78
4121,10,1441,16,24,2,1023.45
152763,34,1703,19,21,33,5382.25
15298,4,2425,38,2,4,1809.89
12459,58,2476,30,10,1,969.21
21382,3,2789,36,4,36,2529.54
137893,6,3447,32,8,30,6541.45
59037,6,951,4,36,2,3490.33
7462,25,3439,13,27,9,881.98
26919,43,3041,29,11,35,1976.04
6841,50,1205,21,19,18,600.14
9572,14,434,19,21,14,1222.32
185721,10,3652,24,16,25,6755.95
4511,12,1328,23,17,17,533.72
17407,55,2325,1,39,27,1170.79
19934,14,2545,9,31,21,2065.42
37535,43,1222,21,19,1,2232.39
15697,56,803,8,32,12,1159.75
9528,8,731,30,10,17,1127.76
2370,22,2131,30,10,12,517.02
26958,5,199,31,9,25,3187.46
62090,7,3637,39,1,9,3672.87
33488,45,154,2,38,16,1992.37
6854,33,3021,27,13,28,754.86
19007,54,2506,23,17,20,1185.75
14069,48,1699,35,5,35,1129.19
18415,29,601,34,6,27,1612.43
147037,23,132,11,29,12,5401.13
2618,40,887,32,8,18,487.22
73650,52,1578,1,39,2,2920.25
11814,29,4085,38,2,9,1160.00
20358,12,1977,12,28,33,2111.83
6111,25,3575,27,13,35,722.57
135246,9,1292,27,13,13,4944.40
6709,55,2061,19,21,11,607.21
5836,27,1543,39,1,27,690.18
146768,39,1175,38,2,10,5123.66
37192,39,3036,34,6,14,2202.82
6205,34,2403,18,22,39,668.09
164448,44,29,28,12,9,5470.07
9996,55,3011,13,27,26,1216.62
14058,31,1205,9,31,12,1274.99
565,20,2227,31,9,36,133.91
3600,41,1161,8,32,20,653.56
22761,58,521,5,35,8,1519.48
19088,40,1274,20,20,24,1131.85
115915,27,81,16,24,31,4566.98
20984,37,3248,17,23,6,1249.36
35724,43,490,20,20,26,2113.06
457838,35,3787,32,8,34,7534.08
33582,50,99,35,5,5,1986.16
5776,54,1843,9,31,27,523.16
12568,30,403,6,34,10,1193.00
34639,19,1079,6,34,37,2056.18
156812,54,458,6,34,22,5217.90
23451,54,3003,12,28,23,1389.89
262756,6,3474,20,20,23,7489.39
11575,24,2970,8,32,16,1351.96
10622,19,517,36,4,10,1253.34
150194,46,1699,1,39,5,5301.98
170014,39,2377,20,20,4,5387.97
180582,35,1600,20,20,7,5820.88
2717,55,3021,38,2,37,368.03
6012,20,105,22,18,19,710.77
199042,28,1751,20,20,19,6627.78
180972,30,3400,21,19,30,6091.75
131697,39,1354,2,38,6,5563.32
64747,47,3747,2,38,1,3080.01
463163,32,295,12,28,31,7639.57
59775,13,2387,34,6,32,3534.41
32894,53,2566,25,15,21,1945.42
76760,57,3814,21,19,5,3023.89
161449,46,2888,20,20,2,5327.40
